ObjectId,kod,nazev,datum_exportu,GlobalID,SHAPE_Length
1,30091,Pospíšilova,2023/09/21 00:00:00+00,{1F12F2F6-E63B-43F5-9DC6-B323723327AF},0.00285023051548537
2,756717,Holandská,2023/09/21 00:00:00+00,{3F761CDC-E4C6-498C-A249-A61FACF21950},0.00594743905029558
3,660663,Malinová,2023/09/21 00:00:00+00,{C844C2D7-2F45-4223-81D6-D28B76D96C2D},0.00309874189905633
4,27073,Lipská,2023/09/21 00:00:00+00,{6DD76BB1-8EC4-4605-A981-4EA72A8E3C1C},0.00157305103304015
5,31313,Sady,2023/09/21 00:00:00+00,{31FEFC20-FD73-4B42-82C1-24960B2E98B4},0.00122898255564419
6,22870,Drdy,2023/09/21 00:00:00+00,{415BBD84-E9F6-4B72-A361-0344D5456CB4},0.00767918313014518
7,21083,Bartákova,2023/09/21 00:00:00+00,{9254DBB2-B776-4151-9A82-C4A364887A0F},0.00162809178658864
8,22896,Drnovická,2023/09/21 00:00:00+00,{A8D3F254-9EC9-4EFC-8298-5AA54EA5A6D9},0.00105937219618445
9,29297,Ovocná,2023/09/21 00:00:00+00,{89CCF77F-294D-452C-BF2B-F708080DFFC6},0.00243706230863222
10,710164,Hluboček,2023/09/21 00:00:00+00,{86D85527-0B0C-4573-B4C8-55FD10F3462A},0.00342294626344203
11,660477,Planinka,2023/09/21 00:00:00+00,{D5023F92-30FE-4C0D-9700-BAFCFA64B314},0.00304086881504377
12,695173,U luhu,2023/09/21 00:00:00+00,{A79EB405-1EA9-48C7-8608-DAEF56F01549},0.00442878298133067
13,719889,Velkomoravská,2023/09/21 00:00:00+00,{115457E1-77BE-4A5F-8E40-604DBAB9240E},0.000539938413118229
14,27341,Malečkova,2023/09/21 00:00:00+00,{B6EFF4A1-A1BE-4E97-B52E-5E8E3793986B},0.0039524692295255
15,3031268,Jižní,2023/09/21 00:00:00+00,{C9457279-E363-403C-9922-2A295033CAF9},0.00079415299509491
16,24791,Ječná,2023/09/21 00:00:00+00,{7EA2376F-1AD7-4929-825C-4E741CFA7D66},0.00601386256996887
17,660507,Šaracova,2023/09/21 00:00:00+00,{757DBA57-79D0-429A-81D3-043E9E8090C2},0.00251348699100846
18,768600,Kavčí,2023/09/21 00:00:00+00,{E4103EAA-134C-40A4-9162-EE37C09C6E81},0.00266836898305346
19,31399,Schwaigrova,2023/09/21 00:00:00+00,{DEB50636-B216-4248-8379-4B14E4A8500B},0.00465178161680434
20,679178,Slavomírova,2023/09/21 00:00:00+00,{69973309-C554-4677-9D22-F6EC9F5A4825},0.00192527561454522
21,801062,Na Sedláku,2023/09/21 00:00:00+00,{6C02E23E-0FA0-42C4-81BE-FCC84677F06A},0.000288650659679491
22,24040,Hlinky,2023/09/21 00:00:00+00,{45631273-AE73-4B24-8C5C-C2F8D3CA5E2C},0.0242356515973933
23,31445,Selská,2023/09/21 00:00:00+00,{1DFE177A-06D7-4645-9CE1-DDE6E3F63A80},0.00743577157278258
24,35483,Zátiší,2023/09/21 00:00:00+00,{EDA63DF0-8528-4591-B113-4A3AA11DD037},0.000520998343595007
25,29335,Palírenská,2023/09/21 00:00:00+00,{5CFEC0D7-7B43-4480-9290-0DC0CC5E36AE},0.00332786696720112
26,36803,Slunečná,2023/09/21 00:00:00+00,{86617203-9C93-48BC-9DAD-99D4EADEF3EE},0.00394482643123455
27,32735,Široká,2023/09/21 00:00:00+00,{8AF4FEA9-3D6A-4F75-ADB9-507B9EA13EEF},0.00229910764252278
28,32956,Poláčkova,2023/09/21 00:00:00+00,{8A8E9B44-1F16-4D95-A1DF-5CC6AE79E1DC},0.0029256910316056
29,25020,Janáčkovo náměstí,2023/09/21 00:00:00+00,{65E0B595-B1D0-40EC-B07F-374478B2E5E0},0.00199278038157558
30,29769,Pod Mniší horou,2023/09/21 00:00:00+00,{707EB50B-2E95-4783-BF5E-FBEA56DADAD9},0.00415787450193176
