pubMillis,count_jams,length,level,delay,speedKMH,count_alerts
2023-06-06 21:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-06 22:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-06 23:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 00:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 01:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 02:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 03:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 04:00:00,3,0.15,5.0,-0.05,0.0,0
2023-06-07 05:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 06:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 07:00:00,1,0.88,3.0,1.27,26.0,0
2023-06-07 08:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 09:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 10:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 11:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 12:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 13:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 14:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 15:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 16:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 17:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 18:00:00,2,0.05,5.0,-0.03,0.0,0
2023-06-07 19:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 20:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 21:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 22:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-07 23:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-08 00:00:00,1,0.27,5.0,-0.02,0.0,0
2023-06-08 01:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-08 02:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-08 03:00:00,0,0.0,0.0,0.0,0.0,0
2023-06-08 04:00:00,5,0.33,5.0,-0.08,0.0,6
2023-06-08 05:00:00,0,0.0,0.0,0.0,0.0,1
2023-06-08 06:00:00,1,0.03,5.0,-0.02,0.0,3
2023-06-08 07:00:00,0,0.0,0.0,0.0,0.0,3
2023-06-08 08:00:00,0,0.0,0.0,0.0,0.0,5
2023-06-08 09:00:00,0,0.0,0.0,0.0,0.0,2
2023-06-08 10:00:00,1,0.71,2.0,1.28,18.0,2
2023-06-08 11:00:00,8,16.4,3.75,25.2,12.25,6
2023-06-08 12:00:00,10,5.26,3.0,15.03,13.8,12
2023-06-08 13:00:00,77,37.57,3.18,190.58,10.1,97
2023-06-08 14:00:00,203,93.99,3.21,477.08,10.05,208
2023-06-08 15:00:00,238,168.14,3.13,572.73,10.9,337
2023-06-08 16:00:00,167,98.06,3.14,423.12,10.56,273
2023-06-08 17:00:00,125,100.88,3.11,364.82,11.25,111
2023-06-08 18:00:00,43,21.61,2.98,127.02,10.88,20
2023-06-08 19:00:00,26,9.13,2.96,66.6,9.19,15
2023-06-08 20:00:00,14,3.99,3.0,45.8,5.86,8
2023-06-08 21:00:00,13,7.32,2.62,28.7,13.08,13
2023-06-08 22:00:00,17,7.95,2.82,40.18,10.65,4
2023-06-08 23:00:00,8,2.62,3.38,15.68,6.62,1
2023-06-09 00:00:00,7,2.96,3.0,26.4,9.57,2
2023-06-09 01:00:00,5,2.51,2.4,9.35,10.6,0
2023-06-09 02:00:00,6,2.56,3.17,10.95,8.17,0
2023-06-09 03:00:00,9,4.97,3.44,13.63,11.33,0
2023-06-09 04:00:00,1,0.5,2.0,1.38,11.0,11
2023-06-09 05:00:00,15,2.88,4.33,6.28,3.73,9
2023-06-09 06:00:00,46,24.2,2.85,91.72,12.98,32
2023-06-09 07:00:00,142,69.88,2.94,312.22,11.18,73
2023-06-09 08:00:00,115,53.35,2.99,290.47,10.69,62
2023-06-09 09:00:00,94,48.87,2.83,205.4,11.65,38
2023-06-09 10:00:00,109,53.06,2.98,242.27,10.66,38
2023-06-09 11:00:00,228,100.6,3.01,442.42,10.01,67
2023-06-09 12:00:00,258,130.04,2.91,677.27,11.48,74
2023-06-09 13:00:00,141,63.92,3.14,330.33,10.01,48
2023-06-09 14:00:00,262,138.81,3.18,554.25,10.69,225
2023-06-09 15:00:00,212,89.66,3.24,486.45,9.26,208
2023-06-09 16:00:00,135,56.42,3.03,272.57,9.5,168
2023-06-09 17:00:00,76,36.58,3.11,181.82,9.72,47
2023-06-09 18:00:00,33,11.16,3.0,86.6,7.58,11
2023-06-09 19:00:00,29,10.25,2.86,107.53,7.72,9
2023-06-09 20:00:00,27,11.47,3.0,49.82,9.81,8
2023-06-09 21:00:00,17,6.79,3.24,68.8,7.29,2
2023-06-09 22:00:00,25,10.55,3.16,57.3,9.6,3
2023-06-09 23:00:00,14,4.39,3.43,37.7,6.14,6
2023-06-10 00:00:00,6,2.31,3.0,10.13,10.0,44
2023-06-10 01:00:00,13,5.31,3.31,23.83,9.85,1
2023-06-10 02:00:00,8,2.73,3.12,17.02,8.5,0
2023-06-10 03:00:00,4,1.07,3.25,7.92,6.5,1
2023-06-10 04:00:00,2,0.72,3.5,4.92,7.5,2
2023-06-10 05:00:00,3,1.08,3.0,5.08,8.33,6
2023-06-10 06:00:00,4,1.5,3.75,6.58,6.5,15
2023-06-10 07:00:00,17,7.3,3.29,24.82,10.18,5
2023-06-10 08:00:00,19,6.31,3.21,34.73,8.05,6
2023-06-10 09:00:00,26,10.01,3.23,79.13,8.15,16
2023-06-10 10:00:00,34,13.53,2.97,163.45,7.68,12
2023-06-10 11:00:00,42,18.7,3.1,112.17,9.05,28
2023-06-10 12:00:00,138,29.92,4.3,88.83,3.7,20
2023-06-10 13:00:00,23,8.15,3.13,63.48,8.0,8
2023-06-10 14:00:00,18,7.11,3.06,92.68,7.39,24
2023-06-10 15:00:00,24,12.43,2.92,46.68,10.54,10
2023-06-10 16:00:00,21,9.71,3.05,40.52,10.48,9
2023-06-10 17:00:00,25,8.05,3.28,58.42,7.0,11
2023-06-10 18:00:00,31,10.36,3.16,72.48,7.84,9
2023-06-10 19:00:00,14,4.78,3.0,24.35,8.5,9
2023-06-10 20:00:00,35,17.35,3.09,179.72,10.6,8
2023-06-10 21:00:00,42,21.84,3.02,95.72,10.29,11
2023-06-10 22:00:00,32,12.0,3.28,50.6,7.5,2
2023-06-10 23:00:00,50,28.65,2.84,87.62,12.46,24
2023-06-11 00:00:00,22,9.82,3.14,49.47,9.14,10
2023-06-11 01:00:00,15,6.02,3.07,30.23,9.27,1
2023-06-11 02:00:00,10,4.08,3.1,17.5,10.2,0
2023-06-11 03:00:00,11,3.53,3.45,17.68,8.0,1
2023-06-11 04:00:00,1,0.24,4.0,2.35,5.0,0
2023-06-11 05:00:00,16,3.03,4.56,14.05,2.69,1
2023-06-11 06:00:00,6,1.8,3.5,11.0,7.83,2
2023-06-11 07:00:00,6,3.11,3.0,11.05,11.33,0
2023-06-11 08:00:00,20,7.13,3.7,29.95,5.6,19
2023-06-11 09:00:00,17,9.15,3.12,78.18,10.12,7
2023-06-11 10:00:00,28,14.51,2.86,76.42,11.18,10
2023-06-11 11:00:00,46,20.32,3.15,156.05,9.48,30
2023-06-11 12:00:00,48,14.86,3.04,167.2,5.5,22
2023-06-11 13:00:00,39,19.59,3.05,92.38,9.46,4
2023-06-11 14:00:00,40,16.75,2.95,81.92,10.12,10
2023-06-11 15:00:00,28,10.74,2.93,57.98,8.29,15
2023-06-11 16:00:00,48,22.17,3.04,158.03,8.75,7
2023-06-11 17:00:00,41,16.06,3.1,118.38,7.95,21
2023-06-11 18:00:00,41,14.88,3.1,128.8,8.24,20
2023-06-11 19:00:00,41,12.07,3.17,174.12,6.05,4
2023-06-11 20:00:00,24,8.43,3.04,58.93,7.42,8
2023-06-11 21:00:00,11,4.76,3.0,23.65,10.0,1
2023-06-11 22:00:00,14,7.12,2.93,20.68,10.86,4
2023-06-11 23:00:00,11,4.94,3.09,24.38,10.45,1
2023-06-12 00:00:00,6,1.51,3.33,10.92,6.5,0
2023-06-12 01:00:00,2,0.6,2.5,3.28,6.0,0
2023-06-12 02:00:00,2,0.55,2.5,2.98,7.5,0
2023-06-12 03:00:00,4,2.73,2.75,7.58,15.0,0
2023-06-12 04:00:00,2,0.36,4.0,3.63,5.5,2
2023-06-12 05:00:00,6,1.24,4.67,3.77,2.0,12
2023-06-12 06:00:00,64,34.95,2.92,127.35,13.5,53
2023-06-12 07:00:00,200,107.68,2.97,362.45,12.04,156
2023-06-12 08:00:00,145,74.53,2.97,253.23,11.37,121
2023-06-12 09:00:00,115,53.19,2.92,210.45,11.07,62
2023-06-12 10:00:00,115,63.52,2.95,273.87,11.54,30
2023-06-12 11:00:00,212,117.77,2.78,449.72,12.81,61
2023-06-12 12:00:00,158,77.33,3.04,400.03,11.0,52
2023-06-12 13:00:00,81,45.18,2.88,175.3,12.22,27
2023-06-12 14:00:00,166,76.97,3.0,338.62,11.08,65
2023-06-12 15:00:00,177,85.02,3.03,357.45,11.1,114
2023-06-12 16:00:00,137,75.7,2.83,261.65,11.39,89
2023-06-12 17:00:00,93,41.83,2.94,243.07,9.92,50
2023-06-12 18:00:00,62,27.2,2.95,139.98,9.76,12
2023-06-12 19:00:00,16,4.86,3.19,53.35,6.38,19
2023-06-12 20:00:00,15,4.68,3.0,65.63,7.13,8
2023-06-12 21:00:00,13,5.06,3.46,33.57,7.62,7
2023-06-12 22:00:00,18,7.25,3.06,48.08,9.61,5
2023-06-12 23:00:00,12,5.14,3.17,19.73,9.0,3
2023-06-13 00:00:00,6,4.37,2.33,8.2,16.67,0
2023-06-13 01:00:00,1,0.87,2.0,1.0,20.0,1
2023-06-13 02:00:00,2,0.46,3.5,3.8,6.0,0
2023-06-13 03:00:00,3,2.0,2.0,4.3,13.0,0
2023-06-13 04:00:00,0,0.0,0.0,0.0,0.0,1
2023-06-13 05:00:00,13,4.18,4.0,12.3,6.69,21
2023-06-13 06:00:00,77,39.66,2.94,128.3,12.58,58
2023-06-13 07:00:00,201,101.0,3.09,380.58,11.12,177
2023-06-13 08:00:00,148,74.25,2.93,286.03,11.52,116
2023-06-13 09:00:00,120,65.66,2.82,207.65,12.28,57
2023-06-13 10:00:00,99,43.89,2.92,186.0,10.54,32
2023-06-13 11:00:00,201,108.82,2.89,417.3,11.9,64
2023-06-13 12:00:00,206,96.27,3.02,603.63,10.39,50
2023-06-13 13:00:00,96,48.57,2.74,179.8,11.57,20
2023-06-13 14:00:00,148,79.48,2.93,303.1,12.45,75
2023-06-13 15:00:00,187,85.45,3.03,335.55,10.98,108
2023-06-13 16:00:00,146,72.33,3.04,300.27,10.82,104
2023-06-13 17:00:00,96,46.88,2.98,255.08,11.46,22
2023-06-13 18:00:00,61,22.56,3.1,115.55,8.7,12
2023-06-13 19:00:00,31,12.85,2.84,70.45,9.52,5
2023-06-13 20:00:00,10,4.0,3.4,19.82,8.3,5
2023-06-13 21:00:00,24,8.93,3.08,41.58,7.96,7
2023-06-13 22:00:00,13,4.48,3.15,31.7,7.15,6
2023-06-13 23:00:00,5,2.28,3.0,17.77,10.6,3
2023-06-14 00:00:00,7,2.3,3.57,17.33,7.86,0
2023-06-14 01:00:00,5,2.61,2.6,8.13,12.4,0
2023-06-14 02:00:00,7,2.61,3.71,12.92,7.71,1
