pubMillis,count_jams,count_alerts
2023-03-23 12:00:00,0,0
2023-03-23 13:00:00,0,0
2023-03-23 14:00:00,0,0
2023-03-23 15:00:00,0,0
2023-03-23 16:00:00,0,0
2023-03-23 17:00:00,1,0
2023-03-23 18:00:00,0,0
2023-03-23 19:00:00,0,0
2023-03-23 20:00:00,0,0
2023-03-23 21:00:00,0,0
2023-03-23 22:00:00,0,0
2023-03-23 23:00:00,0,0
2023-03-24 00:00:00,0,0
2023-03-24 01:00:00,0,0
2023-03-24 02:00:00,0,0
2023-03-24 03:00:00,16,0
2023-03-24 04:00:00,1,0
2023-03-24 05:00:00,0,0
2023-03-24 06:00:00,0,0
2023-03-24 07:00:00,0,3
2023-03-24 08:00:00,4,6
2023-03-24 09:00:00,0,0
2023-03-24 10:00:00,2,2
2023-03-24 11:00:00,0,2
2023-03-24 12:00:00,0,0
2023-03-24 13:00:00,0,1
2023-03-24 14:00:00,0,2
2023-03-24 15:00:00,0,1
2023-03-24 16:00:00,0,1
2023-03-24 17:00:00,0,1
2023-03-24 18:00:00,1,6
2023-03-24 19:00:00,28,7
2023-03-24 20:00:00,24,5
2023-03-24 21:00:00,22,2
2023-03-24 22:00:00,15,2
2023-03-24 23:00:00,12,4
2023-03-25 00:00:00,5,0
2023-03-25 01:00:00,12,0
2023-03-25 02:00:00,3,1
2023-03-25 03:00:00,2,0
2023-03-25 04:00:00,6,4
2023-03-25 05:00:00,5,0
2023-03-25 06:00:00,6,2
2023-03-25 07:00:00,20,15
2023-03-25 08:00:00,12,17
2023-03-25 09:00:00,25,20
2023-03-25 10:00:00,33,9
2023-03-25 11:00:00,25,16
2023-03-25 12:00:00,25,15
2023-03-25 13:00:00,20,13
2023-03-25 14:00:00,28,5
2023-03-25 15:00:00,22,8
2023-03-25 16:00:00,32,13
2023-03-25 17:00:00,39,10
2023-03-25 18:00:00,26,4
2023-03-25 19:00:00,28,3
2023-03-25 20:00:00,14,2
2023-03-25 21:00:00,14,2
2023-03-25 22:00:00,14,3
2023-03-25 23:00:00,9,0
2023-03-26 00:00:00,4,0
2023-03-26 01:00:00,11,1
2023-03-26 02:00:00,6,0
2023-03-26 03:00:00,2,0
